,Unnamed: 0,tout,s,i,t1,t2,t3,t4,t5,t6,m,tret
3797,3797,6.4,0.0,0.0,22.93908602079844,23.51906021521887,23.893106565412673,23.260687018194986,23.369088982281752,22.721651443621262,118.50909457669914,22.961792927198097
3798,3798,6.35,0.0,0.0,22.944355578692196,23.005126720009603,24.629530997303572,23.48924759838647,23.772152845681163,22.774852598345127,111.70874800739205,22.946392625852734
3799,3799,6.3000000000000025,0.0,0.0,22.92747312596611,23.97711263516088,23.995862724454387,23.12253312311747,23.25810244889623,22.82368385693524,111.64685866777175,22.93444833901379
3800,3800,6.249999999999999,0.0,0.0,22.95505451532945,24.700838694017854,24.53432237861497,23.130103406271964,23.022038801127984,22.85011828562601,107.27147388203258,22.949366599126677
3801,3801,6.1999999999999975,0.0,0.0,22.958770298737747,24.482609248121747,24.849276446871627,23.050767422807468,23.00092172310153,22.841506443808182,99.55175791592043,22.961508646784676
3802,3802,6.15,0.0,0.0,22.991291280073053,23.74200778262374,24.025908284733433,23.28903856275602,23.495030795046173,22.8648659539458,126.59570472906485,22.98603545514687
3803,3803,6.1,0.0,0.0,22.989750283252224,23.244924020340942,23.10255550292971,23.011294844157714,23.806058883767676,22.870534266412786,125.02631762011013,22.992283379130768
3804,3804,6.058333333333333,0.0,0.0,22.972795559318147,23.210215320492697,23.29886685071465,23.58171108956188,23.751372658956946,22.85354243935371,117.18823833409107,22.9796926852286
3805,3805,6.016666666666668,0.0,0.0,22.989508642399716,24.188342855867052,24.123537587767657,23.41901076150645,23.77711522607441,22.85691279076477,127.02748324885624,22.98510151345349
3806,3806,5.975,0.0,0.0,22.992248029161548,24.80280590835065,23.06290432687961,23.013382592579298,23.012988809493194,22.85048435519307,112.24707186587614,22.99917650608561
3807,3807,5.933333333333334,0.0,0.0,22.973270271095338,23.18570049702389,24.06197353158105,24.32329727901506,23.22293455036609,22.772622268687698,137.90126281212173,22.98037237737058
3808,3808,5.8916666666666675,0.0,0.0,22.95191409995449,24.04575823798552,23.24354132856515,24.66269972641755,23.57731768217452,22.79594803720392,113.94874297126154,22.96420272405005
3809,3809,5.85,0.0,0.0,22.972843149784023,24.65110479042543,23.959956320428372,23.20771508264541,23.48351232329602,22.75383856878388,129.5325378160844,22.97250548166755
3810,3810,5.808333333333333,0.0,0.0,22.95358169775977,23.327725342046502,24.351916562941927,24.035734475733104,23.599594880548164,22.68441010012995,121.43276979495093,22.960109579530247
3811,3811,5.766666666666668,0.0,0.0,22.90407551503499,23.280322368657327,23.246781736757132,23.178665496477056,23.36712239591419,22.64676176819528,127.4998351324984,22.925401138333612
3812,3812,5.725,0.0,0.0,22.91895061302477,24.31760545436429,24.354076022472853,24.521617220388926,23.63329447837201,22.736211450633817,136.21781764100695,22.90938858752159
3813,3813,5.683333333333334,0.0,0.0,22.8701402209652,24.250303748554483,24.26030998396396,23.991937888300427,23.202599939560837,22.746951189180326,95.78942095732698,22.88695766094709
3814,3814,5.641666666666668,0.0,0.0,22.89022932015525,24.734838311458503,23.39954513706053,24.77070528960391,23.456530750989753,22.78395042303195,129.62449643054765,22.883024471025657
3815,3815,5.6,0.0,0.0,22.899817543294137,23.457028030984393,23.200850477310162,23.22960285650249,23.274449594854865,22.67970023135837,125.50752162658891,22.91032375062864
3816,3816,5.55,0.0,0.0,22.78608395661679,23.51974043076289,24.356272656355696,23.01053372135776,23.658137590064047,22.75481104211284,100.67853891772768,22.81233530162013
3817,3817,5.5,0.0,0.0,22.860067915490138,24.14194546860909,23.74562791424385,24.457091885030533,24.022365930338516,22.875173401551557,127.68216955240541,22.83526511627341
3818,3818,5.4499999999999975,0.0,0.0,22.92521002868561,24.318914242610568,24.47904349080162,23.193173316132327,23.79481863695602,22.78390711134949,131.23064243572347,22.90452474514448
3819,3819,5.4,0.0,0.0,22.91738644757862,23.19332123205688,24.09175951948151,24.53930800350017,23.71937422057254,22.73478429275569,123.68703590178025,22.923651538946128
