DischargeAirTemperature,times
72.5555114746,2017-06-01 09:35:00
72.5555114746,2017-06-01 09:36:00
72.6073913574,2017-06-01 09:37:00
72.6073913574,2017-06-01 09:38:00
72.4517211914,2017-06-01 09:39:00
72.5555114746,2017-06-01 09:40:00
72.5036010742,2017-06-01 09:41:00
72.5036010742,2017-06-01 09:42:00
72.5036010742,2017-06-01 09:43:00
72.4517211914,2017-06-01 09:44:00
72.5036010742,2017-06-01 09:45:00
72.5036010742,2017-06-01 09:46:00
72.4517211914,2017-06-01 09:47:00
72.5036010742,2017-06-01 09:48:00
72.4517211914,2017-06-01 09:49:00
72.4517211914,2017-06-01 09:50:00
72.399810791,2017-06-01 09:51:00
72.399810791,2017-06-01 09:52:00
72.399810791,2017-06-01 09:53:00
72.399810791,2017-06-01 09:54:00
72.2960205078,2017-06-01 09:55:00
72.3479309082,2017-06-01 09:56:00
72.2960205078,2017-06-01 09:57:00
72.3479309082,2017-06-01 09:58:00
72.3479309082,2017-06-01 09:59:00
72.2960205078,2017-06-01 10:00:00
72.3479309082,2017-06-01 10:01:00
72.2960205078,2017-06-01 10:02:00
72.3479309082,2017-06-01 10:03:00
72.3479309082,2017-06-01 10:04:00
72.3479309082,2017-06-01 10:05:00
72.2960205078,2017-06-01 10:06:00
72.3479309082,2017-06-01 10:07:00
72.2960205078,2017-06-01 10:08:00
72.2960205078,2017-06-01 10:09:00
72.2960205078,2017-06-01 10:10:00
72.244140625,2017-06-01 10:11:00
72.2960205078,2017-06-01 10:12:00
72.244140625,2017-06-01 10:13:00
72.244140625,2017-06-01 10:14:00
72.1922302246,2017-06-01 10:15:00
72.1922302246,2017-06-01 10:16:00
72.1922302246,2017-06-01 10:17:00
72.1922302246,2017-06-01 10:18:00
72.1403198242,2017-06-01 10:19:00
72.1922302246,2017-06-01 10:20:00
72.1922302246,2017-06-01 10:21:00
72.1922302246,2017-06-01 10:22:00
72.1922302246,2017-06-01 10:23:00
72.1922302246,2017-06-01 10:24:00
72.1922302246,2017-06-01 10:25:00
72.244140625,2017-06-01 10:26:00
72.244140625,2017-06-01 10:27:00
72.244140625,2017-06-01 10:28:00
72.244140625,2017-06-01 10:29:00
72.2960205078,2017-06-01 10:30:00
72.3479309082,2017-06-01 10:31:00
72.3479309082,2017-06-01 10:32:00
72.3479309082,2017-06-01 10:33:00
72.399810791,2017-06-01 10:34:00
72.3479309082,2017-06-01 10:35:00
72.399810791,2017-06-01 10:36:00
72.399810791,2017-06-01 10:37:00
72.3479309082,2017-06-01 10:38:00
