,on,t,tout,tdis,t_pre,hour,weekday,il
2812,0.0,76.9733154297,75.8821350098,79.956072998,77.0,19.0,2.0,-0.0919289264494
2813,0.0,77.0,75.3891052246,79.9145507812,76.9733154297,19.0,2.0,-0.037443202638
2814,0.0,76.9866577148,74.6729125976,79.8315185547,77.0,19.0,2.0,-0.0756913667734
2815,0.0,76.9666442871,74.1176269531,79.7796203613,76.9866577148,19.0,2.0,-0.0810649193396
2816,0.0,76.953314209,73.5363647461,79.6965698242,76.9666442871,19.0,2.0,-0.0730377563062
2817,0.0,76.9333190918,73.2042297363,79.6239135742,76.953314209,19.0,2.0,-0.0789394719645
2818,0.0,76.9333190918,72.9603149414,79.520123291,76.9333190918,19.0,2.0,-0.0584082177037
2819,0.0,76.9133239746,72.4517211914,79.447467041,76.9333190918,19.0,2.0,-0.0771855948593
2820,0.0,76.9133239746,72.0157836914,79.3436767578,76.9133239746,19.0,2.0,-0.0561945753391
2821,0.0,76.9199890137,71.6576782226,79.291784668,76.9133239746,19.0,2.0,-0.0486721144374
2822,0.0,76.8666687012,71.2217529297,79.1672302246,76.9199890137,19.0,2.0,-0.107597759797
2823,0.0,76.8666687012,70.9518859863,79.0582519531,76.8666687012,20.0,2.0,-0.0537589637259
2824,0.0,76.8666687012,70.7546691894,78.9959716797,76.8666687012,20.0,2.0,-0.0532867621091
2825,0.0,76.8799987793,70.510736084,78.8817993164,76.8666687012,20.0,2.0,-0.0393726282464
2826,0.0,76.8599853516,70.2305114746,78.8091430664,76.8799987793,20.0,2.0,-0.0720132679609
2827,0.0,76.799987793,70.002166748,78.7053405762,76.8599853516,20.0,2.0,-0.111498585485
2828,0.0,76.799987793,69.8568725586,78.5911560058,76.799987793,20.0,2.0,-0.0512967988095
2829,0.0,76.799987793,69.6336914062,78.4769897461,76.799987793,20.0,2.0,-0.0507624300202
2830,0.0,76.799987793,69.3741943359,78.3731933594,76.799987793,20.0,2.0,-0.050141109027
2831,0.0,76.7466674804,69.2496398926,78.2797790527,76.799987793,20.0,2.0,-0.103163197488
2832,0.0,76.7066528321,69.1354614258,78.1656005859,76.7466674804,20.0,2.0,-0.0897118188305
2833,0.0,76.6999816895,68.9486694336,78.0825805664,76.7066528321,20.0,2.0,-0.0560168800874
2834,0.0,76.6999816895,68.9486694336,77.9476623535,76.6999816895,20.0,2.0,-0.0493617103881
2835,0.0,76.6999816895,68.9486694336,77.8386779785,76.6999816895,21.0,2.0,-0.0493617103881
2836,0.0,76.6733215332,68.9486694336,77.7763977051,76.6999816895,21.0,2.0,-0.0760218666881
2837,0.0,76.6466613769,68.9901733398,77.6414367676,76.6733215332,21.0,2.0,-0.0761850737832
2838,0.0,76.6199890136,69.0524291992,77.5376464844,76.6466613769,21.0,2.0,-0.0764101748522
2839,0.0,76.5999755859,69.0524291992,77.5272705078,76.6199890136,21.0,2.0,-0.0698151016273
2840,0.0,76.5666503906,68.927911377,77.413104248,76.5999755859,21.0,2.0,-0.082876651473
2841,0.0,76.5333251953,68.8137420654,77.3923400879,76.5666503906,21.0,2.0,-0.0826830841754
2842,0.0,76.5333251953,68.8033630371,77.3611938476,76.5333251953,21.0,2.0,-0.0494128295159
2843,0.0,76.506640625,68.9486694336,77.2262634277,76.5333251953,21.0,2.0,-0.0764453109291
2844,0.0,76.4999694824,68.9486694336,77.122479248,76.506640625,21.0,2.0,-0.0564957748319
2845,0.0,76.4666442871,68.8863952637,77.0083068848,76.4999694824,21.0,2.0,-0.0830166956699
2846,0.0,76.4333190918,68.8241210938,76.9252746582,76.4666442871,21.0,2.0,-0.0829473823415
2847,0.0,76.4333190918,68.6995605469,76.8422424316,76.4333190918,22.0,2.0,-0.0494037397226
2848,0.0,76.3999938965,68.611315918,76.7695922852,76.4333190918,22.0,2.0,-0.0825176484735
2849,0.0,76.3999938965,68.403717041,76.7695922852,76.3999938965,22.0,2.0,-0.0487751848903
2850,0.0,76.353326416,68.0300720215,76.7436401367,76.3999938965,22.0,2.0,-0.0945480368137
2851,0.0,76.299987793,67.7394470215,76.6605834961,76.353326416,22.0,2.0,-0.100635065096
2852,0.0,76.299987793,67.5525939941,76.5567932129,76.299987793,22.0,2.0,-0.0469767648744
2853,0.0,76.2333068848,67.204901123,76.504901123,76.299987793,22.0,2.0,-0.112825182443
2854,0.0,76.2333068848,66.9973205566,76.4737609863,76.2333068848,22.0,2.0,-0.0458069143045
