,real,prediction
281,76.1666564941,76.6392010353
282,76.1666564941,76.6289214584
283,76.1666564941,76.6186797294
284,76.1666564941,76.6084757088
285,76.1666564941,76.5983092579
286,76.1666564941,76.5881802383
287,76.1666564941,76.5780885122
288,76.1666564941,76.5680339424
289,76.1333312988,76.5580163919
290,76.1333312988,76.5483673021
291,76.1333312988,76.5391266418
292,76.1333312988,76.5303343787
293,76.1333312988,76.5215744874
294,76.1333312988,76.5126811086
295,76.0999755859,76.5039862139
296,76.0999755859,76.4954890726
297,76.0999755859,76.4871889565
298,76.0999755859,76.4790851403
299,76.0999755859,76.471011161
300,76.0999755859,76.463132649
301,76.0666503906,76.4552831445
302,76.0666503906,76.4474625407
303,76.0666503906,76.4398365199
304,76.0666503906,76.4324043171
305,76.0666503906,76.4248337384
306,76.0666503906,76.4172910335
307,76.0333251953,76.4094445708
308,76.0,76.4011297774
309,76.0,76.3925969633
310,76.0,76.3837640857
311,76.0,76.3747565664
312,76.0,76.365616374
313,75.9666442871,76.3563440943
314,75.9666442871,76.3471059537
315,75.9666442871,76.3380675666
